"assembly","sample","design","raw total sequences","filtered sequences","sequences","is sorted","1st fragments","last fragments","reads mapped","reads mapped and paired","reads unmapped","reads properly paired","reads paired","reads duplicated","reads MQ0","reads QC failed","non-primary alignments","total length","total first fragment length","total last fragment length","bases mapped","bases mapped (cigar)","bases trimmed","bases duplicated","mismatches","error rate","average length","average first fragment length","average last fragment length","maximum length","maximum first fragment length","maximum last fragment length","average quality","insert size average","insert size standard deviation","inward oriented pairs","outward oriented pairs","pairs with other orientation","pairs on different chromosomes","percentage of properly paired reads (%)"
"hg38","PM00110.1.1_gDNA","Prostate cancer
3Mb panel",48482340,0,48482340,1,24199680,24282660,48283510,48273790,198826,47901330,48482340,0,852914,0,244228,7120106000,3553700000,3566406000,7090114000,7039234000,0,0,32727210,0.004649258,146,147,147,151,151,151,31.1,189.2,44.9,21560600,2415308,4738,156253,98.8
"hg38","PM00627.1.1_gDNA","Prostate cancer
3Mb panel",7358527,0,7358527,1,3671429,3687098,7328481,7316972,30046,7162012,7358527,0,160143,0,34387,1041686000,519594100,522091500,1037152000,1009948000,0,0,10742700,0.01063689,141,142,142,151,151,151,28.8,192.5,69.7,3027079,557017,2167,72223,97.3
"hg38","PM00124.1.1_gDNA","Prostate cancer
3Mb panel",76597240,0,76597240,1,38138150,38459090,76025850,76007490,571390,74496980,76597240,0,2013785,0,875240,11349040000,5650249000,5698788000,11262800000,11145100000,0,0,58489100,0.005247966,148,148,148,151,151,151,28.3,202.7,48.2,34670870,2617630,23375,691865,97.3
"hg38","PM00193.1.1_gDNA","Prostate cancer
3Mb panel",14304980,0,14304980,1,7125885,7179090,14202420,14166140,102551,14039710,14304980,0,284201,0,55035,2019441000,1005336000,1014105000,2004011000,1979861000,0,0,21583410,0.01090148,141,141,141,151,151,151,28.8,193.5,71.6,5902361,1122540,2094,56073,98.1
"hg38","PM00262.1.1_gDNA","Prostate cancer
3Mb panel",15826590,0,15826590,1,7870226,7956362,15669480,15615630,157108,15503530,15826590,0,308712,0,34301,2284426000,1135361000,1149065000,2260757000,2226542000,0,0,29486390,0.01324314,144,144,144,151,151,151,28.8,205.4,72.9,6760533,996175,1891,49218,98
"hg38","PM00407.1.1_gDNA","Prostate cancer
3Mb panel",5841116,0,5841116,1,2914110,2927006,5815940,5805948,25176,5767102,5841116,0,127472,0,17740,820425600,409192000,411233600,816627100,794801400,0,0,8813057,0.01108838,140,140,140,151,151,151,28.6,190.8,70.9,2417207,468547,731,16489,98.7
"hg38","PM00433.1.1_gDNA","Prostate cancer
3Mb panel",6625453,0,6625453,1,3307388,3318065,6604514,6596392,20939,6506564,6625453,0,127036,0,20067,941724100,470012700,471711400,938565700,919353000,0,0,9630423,0.01047522,142,142,142,151,151,151,28.6,209,85.3,2812209,452384,1107,32496,98.2
"hg38","PM00644.1.1_gDNA","Prostate cancer
3Mb panel",13749580,0,13749580,1,6840155,6909424,13631780,13591700,117800,13462630,13749580,0,256812,0,31333,1982060000,985522800,996537000,1964318000,1937413000,0,0,24331910,0.01255897,144,144,144,151,151,151,29,204.4,71.8,5879920,856632,1995,57304,97.9
"hg38","PM00829.1.1_gDNA","Prostate cancer
3Mb panel",5977835,0,5977835,1,2983387,2994448,5957036,5949104,20799,5913048,5977835,0,122387,0,19551,835655800,416943600,418712100,832519400,810766000,0,0,9132948,0.01126459,139,140,140,151,151,151,28,187,69.1,2452672,505759,801,15320,98.9
"hg38","PM00205.1.2_gDNA","Prostate cancer
3Mb panel",72161460,0,72161460,1,35911280,36250180,71634200,71617080,527255,70237710,72161460,0,2121685,0,859523,10589680000,5269054000,5320626000,10510130000,10399020000,0,0,52970420,0.005093791,146,147,147,151,151,151,28.6,192.9,47.9,31708060,3449100,21975,629412,97.3
"hg38","PM00364.1.1_gDNA","Prostate cancer
3Mb panel",16538740,0,16538740,1,8224274,8314470,16391600,16346960,147146,16224510,16538740,0,358491,0,38754,2244174000,1114436000,1129738000,2222091000,2192879000,0,0,26825600,0.01223305,135,136,136,151,151,151,26.7,166.4,59.5,6248935,1872832,1688,50024,98.1
"hg38","PM00779.1.2_gDNA","Prostate cancer
3Mb panel",12200690,0,12200690,1,6083903,6116788,12138350,12118720,62341,12009690,12200690,0,252071,0,34674,1688313000,841373800,846938900,1678944000,1663487000,0,0,14215490,0.008545598,138,138,138,151,151,151,30,178,64.1,4833731,1175000,1588,49041,98.4
"hg38","PM01016.1.1_gDNA","Prostate cancer
3Mb panel",14919350,0,14919350,1,7448795,7470557,14879450,14864810,39899,14769260,14919350,0,279799,0,36207,2111674000,1054096000,1057578000,2105658000,2083339000,0,0,14404820,0.006914295,141,142,142,151,151,151,30.7,201.8,77.5,6308663,1079645,1685,42410,99
"hg38","PM00120.1.1_gDNA","Prostate cancer
3Mb panel",71807770,0,71807770,1,35775460,36032320,71443380,71430070,364398,70241810,71807770,0,1826752,0,741925,10593010000,5277034000,5315975000,10538030000,10437310000,0,0,55767530,0.005343094,147,148,148,151,151,151,28.1,196.7,47.3,32204450,2952029,17303,541254,97.8
"hg38","PM00459.1.1_gDNA","Prostate cancer
3Mb panel",55720580,0,55720580,1,27719030,28001550,55296210,55282370,424374,54218390,55720580,0,1700257,0,675858,8148322000,4052744000,4095578000,8084305000,8001030000,0,0,52303380,0.006537082,146,146,146,151,151,151,27.3,185.4,43.6,24142550,2991023,17520,490093,97.3
"hg38","PM00262.1.2_cfDNA","Prostate cancer
3Mb panel",36057260,0,36057260,1,17840670,18216590,35574750,35499890,482506,35117750,36057260,0,710493,0,94356,5399715000,2671425000,2728290000,5326875000,5244304000,0,0,62963500,0.01200607,149,150,150,151,151,151,28.8,226.8,96.9,16728460,896388,4960,120143,97.4
"hg38","PM00364.1.1_cfDNA","Prostate cancer
3Mb panel",55634190,0,55634190,1,27414120,28220080,54619570,54482060,1014625,53588700,55634190,0,967960,0,151725,8310455000,4094285000,4216169000,8157294000,8015291000,0,0,111666900,0.01393173,149,149,149,151,151,151,28.3,228.2,103,25168310,1751316,10681,310719,96.3
"hg38","PM00644.1.1_cfDNA","Prostate cancer
3Mb panel",33106870,0,33106870,1,16468520,16638350,32865380,32818510,241490,32457490,33106870,0,619036,0,84264,4940409000,2457330000,2483079000,4903957000,4848955000,0,0,47222710,0.009738741,149,149,149,151,151,151,29.4,222.8,98.5,15198520,1105608,3841,101288,98
"hg38","PM00644.1.2_cfDNA","Prostate cancer
3Mb panel",33631770,0,33631770,1,16681470,16950300,33265680,33197540,366086,28932440,33631770,0,712281,0,92237,5026138000,2492719000,2533418000,4970877000,4911445000,0,0,49826980,0.01014507,149,149,149,151,151,151,30,209.4,84.7,15399100,1046980,14499,138194,86
"hg38","PM00407.1.1_cfDNA","Prostate cancer
3Mb panel",31027040,0,31027040,1,15338470,15688560,30591620,30524920,435422,29940210,31027040,0,671366,0,127202,4643875000,2295511000,2348364000,4578132000,4428840000,0,0,59158640,0.01335759,149,150,150,151,151,151,27.8,225.1,94,14274630,839257,7034,141541,96.5
"hg38","PM00433.1.1_cfDNA","Prostate cancer
3Mb panel",32592600,0,32592600,1,16250460,16342140,32458320,32430630,134279,29495490,32592600,0,697771,0,111348,4865288000,2425729000,2439559000,4845017000,4749369000,0,0,47742480,0.01005238,149,149,149,151,151,151,28.9,208.7,87,15036130,1050025,11605,117560,90.5
"hg38","PM00627.1.1_cfDNA","Prostate cancer
3Mb panel",27875100,0,27875100,1,13824440,14050660,27565720,27502260,309379,24745300,27875100,0,636380,0,117257,4110893000,2038316000,2072576000,4064185000,3941795000,0,0,48724980,0.01236111,147,147,148,151,151,151,27.9,194.5,76.7,11996890,1601371,12388,140479,88.8
"hg38","PM00829.1.1_cfDNA","Prostate cancer
3Mb panel",33204940,0,33204940,1,16524970,16679980,33000080,32970110,204868,31705100,33204940,0,672845,0,122331,4957144000,2466875000,2490268000,4926214000,4806422000,0,0,55479060,0.01154269,149,149,149,151,151,151,28.7,214.9,90.1,15259160,1069064,8450,148384,95.5
"hg38","PM00120.2.1_cfDNA","Prostate cancer
3Mb panel",27788530,0,27788530,1,13825460,13963070,27597900,27560750,190631,24971790,27788530,0,591677,0,73738,4150238000,2064731000,2085506000,4121456000,4026575000,0,0,46136090,0.0114579,149,149,149,151,151,151,29,203.2,76.8,12706120,966872,9512,97871,89.9
"hg38","PM00124.2.1_cfDNA","Prostate cancer
3Mb panel",28608480,0,28608480,1,14268360,14340120,28505120,28486470,103358,28284750,28608480,0,580227,0,84213,4253460000,2121309000,2132151000,4237856000,4152115000,0,0,42390280,0.01020932,148,149,149,151,151,151,28.9,214.2,84.9,12985590,1185725,2945,68980,98.9
"hg38","PM00205.1.2_cfDNA","Prostate cancer
3Mb panel",41438790,0,41438790,1,20660740,20778040,41273700,41253170,165082,39977090,41438790,0,878212,0,123196,6126513000,3054376000,3072137000,6101592000,5989181000,0,0,56951770,0.009509109,147,148,148,151,151,151,29.6,201.9,76.3,18446010,2073246,7072,100256,96.5
"hg38","PM00205.1.3_cfDNA","Prostate cancer
3Mb panel",26297670,0,26297670,1,13126140,13171530,26231140,26218230,66534,24308420,26297670,0,557220,0,83475,3874832000,1933971000,1940861000,3864790000,3797022000,0,0,35638550,0.009385923,147,147,147,151,151,151,29.8,191.4,66.2,11548640,1482014,7115,71352,92.4
"hg38","PM00364.2.1_cfDNA","Prostate cancer
3Mb panel",37584330,0,37584330,1,18630280,18954050,37164480,37089300,419851,36508070,37584330,0,762923,0,106646,5622479000,2786798000,2835681000,5559089000,5422183000,0,0,64921010,0.01197322,149,150,150,151,151,151,28.1,223.1,92.6,17422790,991248,6568,124041,97.1
"hg38","PM00459.2.1_cfDNA","Prostate cancer
3Mb panel",38486420,0,38486420,1,19193900,19292510,38339540,38315050,146880,35988950,38486420,0,834618,0,120527,5701447000,2843269000,2858177000,5679274000,5570786000,0,0,54157290,0.009721661,148,148,148,151,151,151,29.4,197.4,72.9,17054740,1977171,9957,115657,93.5
"hg38","PM00779.2.1_cfDNA","Prostate cancer
3Mb panel",23962190,0,23962190,1,11925060,12037130,23799160,23764170,163036,23466810,23962190,0,487261,0,72466,3570899000,1776983000,1793916000,3546285000,3457170000,0,0,40994850,0.01185792,149,149,149,151,151,151,28.6,217.6,90.2,10864500,920992,3994,92602,97.9
"T2T-CHM13","PM00110.1.1_gDNA","Prostate cancer
3Mb panel",48523590,0,48523590,1,24221260,24302330,48328390,48318730,195202,47971770,48523590,0,1019979,0,321657,7126069000,3556822000,3569247000,7096622000,7044496000,0,0,31026080,0.0044043,146,147,147,151,151,151,32.6,189.3,44.8,21598340,2412199,4269,144561,98.9
"T2T-CHM13","PM00627.1.1_gDNA","Prostate cancer
3Mb panel",7362441,0,7362441,1,3673508,3688933,7332773,7321332,29668,7166752,7362441,0,178383,0,42457,1042233000,519885000,522348200,1037757000,1010386000,0,0,10633770,0.01052446,141,142,142,151,151,151,29.3,192.6,69.7,3029621,556916,2083,72046,97.3
"T2T-CHM13","PM00124.1.1_gDNA","Prostate cancer
3Mb panel",76852840,0,76852840,1,38269230,38583610,76292270,76274150,560574,74758920,76852840,0,2527273,0,1273596,11386720000,5669569000,5717152000,11302110000,11174160000,0,0,54539160,0.004880831,148,148,148,151,151,151,29.5,202.9,48.2,34804880,2615489,21546,695163,97.3
"T2T-CHM13","PM00193.1.1_gDNA","Prostate cancer
3Mb panel",14308680,0,14308680,1,7128001,7180684,14206860,14170580,101826,14046220,14308680,0,321004,0,57998,2019957000,1005633000,1014325000,2004636000,1980828000,0,0,21034200,0.01061889,141,141,141,151,151,151,29.4,193.5,71.6,5905892,1122255,1969,55172,98.2
"T2T-CHM13","PM00262.1.1_gDNA","Prostate cancer
3Mb panel",15831000,0,15831000,1,7872829,7958174,15674750,15620810,156252,15511220,15831000,0,342149,0,41065,2285059000,1135735000,1149324000,2261518000,2227510000,0,0,29004530,0.01302106,144,144,144,151,151,151,28.7,205.5,72.9,6764569,995849,1666,48319,98
