"design","sample","peak.hg38","peak.T2T-CHM13","sd.hg38","sd.T2T-CHM13","mean_cov.hg38","mean_cov.T2T-CHM13"
"Prostate cancer 3Mb panel (1000x)","PM00110.1.1_gDNA",0.480813733855186,0.495251767123288,0.0382130091781977,0.0426620081280324,660.300308800823,661.687451387088
"Prostate cancer 3Mb panel (1000x)","PM00627.1.1_gDNA",0.479588727984344,0.489021526418787,0.0609972996475623,0.0612189390628016,96.0728536202645,96.1035924084953
"Prostate cancer 3Mb panel (1000x)","PM00124.1.1_gDNA",0.487458442270059,0.497124178082192,0.0337608315565438,0.0329188361134991,944.938243959929,947.089979793177
"Prostate cancer 3Mb panel (1000x)","PM00193.1.1_gDNA",0.481853487279843,0.491735336594912,0.0497192997437566,0.0495056374310901,175.308838469353,175.339283683911
"Prostate cancer 3Mb panel (1000x)","PM00262.1.1_gDNA",0.48113801369863,0.494529191780822,0.0477514604177641,0.0490274754938163,195.863386057411,195.521898674242
"Prostate cancer 3Mb panel (1000x)","PM00407.1.1_gDNA",0.47619373776908,0.501291585127202,0.0658637325228928,0.0684237853517964,79.8695992836356,79.9358541525996
"Prostate cancer 3Mb panel (1000x)","PM00433.1.1_gDNA",0.472135342465754,0.498126526418787,0.0608225107928279,0.0651928521644535,92.9498658209319,92.8140900195695
"Prostate cancer 3Mb panel (1000x)","PM00644.1.1_gDNA",0.478766898238748,0.495479452054794,0.0486042628273801,0.0505259423894901,191.642263696568,191.386186770428
"Prostate cancer 3Mb panel (1000x)","PM00829.1.1_gDNA",0.477397260273973,0.497152471624266,0.066570972065499,0.0690839329024043,81.55275148966,81.658401228008
"Prostate cancer 3Mb panel (1000x)","PM00205.1.2_gDNA",0.490043941291585,0.497522328767123,0.0330929927577081,0.0329318123666034,844.904260780287,845.039819004525
"Prostate cancer 3Mb panel (1000x)","PM00364.1.1_gDNA",0.480660334637965,0.489267477495108,0.0474558254953402,0.048765021591072,201.088492438563,201.03152238806
"Prostate cancer 3Mb panel (1000x)","PM00779.1.2_gDNA",0.478277673189824,0.493310890410959,0.0496176281392357,0.0528180614541871,171.748269994328,171.274687464159
"Prostate cancer 3Mb panel (1000x)","PM01016.1.1_gDNA",0.481561017612524,0.494534379647749,0.0466146717474784,0.0495869618321272,197.057875202969,197.15083343047
"Prostate cancer 3Mb panel (1000x)","PM00120.1.1_gDNA",0.488442250489237,0.497803381604697,0.034934587906961,0.0348950801015477,894.149834741094,894.713047784105
"Prostate cancer 3Mb panel (1000x)","PM00459.1.1_gDNA",0.489276753424657,0.498522843444227,0.0358679594868984,0.0360885791822161,639.542721315688,639.762496762497
"Prostate cancer 3Mb panel (1000x)","PM00262.1.2_cfDNA",0.478848945205479,0.495272031311155,0.0385509156886969,0.0421089366791539,496.47388804131,495.328872572241
"Prostate cancer 3Mb panel (1000x)","PM00364.1.1_cfDNA",0.474031722113503,0.483204330724071,0.04381696314209,0.0503185044536156,839.681850365825,842.607100309745
"Prostate cancer 3Mb panel (1000x)","PM00644.1.1_cfDNA",0.480582395303327,0.50083268297456,0.052262575944364,0.0516936475940869,398.63367763632,399.038774766014
"Prostate cancer 3Mb panel (1000x)","PM00644.1.2_cfDNA",0.482850876712329,0.495215655577299,0.0419742192753874,0.0420675633049301,396.365264423077,396.391008505468
"Prostate cancer 3Mb panel (1000x)","PM00407.1.1_cfDNA",0.477280802348337,0.518530602739726,0.0972022179344662,0.0998584296881443,419.707319794689,421.129017756799
"Prostate cancer 3Mb panel (1000x)","PM00433.1.1_cfDNA",0.487545009784736,0.497718320939335,0.0425141647084917,0.042820766846485,379.099454875833,380.086627623231
"Prostate cancer 3Mb panel (1000x)","PM00627.1.1_cfDNA",0.482698176125245,0.493346853228963,0.0851170499531542,0.0852235611549581,321.103621730382,321.300991661032
"Prostate cancer 3Mb panel (1000x)","PM00829.1.1_cfDNA",0.478612998043053,0.495152493150685,0.107004182319177,0.110030588164728,450.854132521658,452.607277882798
"Prostate cancer 3Mb panel (1000x)","PM00120.2.1_cfDNA",0.480567880626223,0.496771037181996,0.140204044730885,0.141661575745731,320.588043351591,321.377482665413
"Prostate cancer 3Mb panel (1000x)","PM00124.2.1_cfDNA",0.48385518590998,0.49160469667319,0.119891366729543,0.119434090331436,343.22842835131,343.683843471523
"Prostate cancer 3Mb panel (1000x)","PM00205.1.2_cfDNA",0.479128483365949,0.482306919765166,0.125497705861439,0.127233529817322,550.026682838084,550.534690891355
"Prostate cancer 3Mb panel (1000x)","PM00205.1.3_cfDNA",0.481908023483366,0.490712111545988,0.0898335773057575,0.0911303415977949,333.693638122883,333.920584652862
"Prostate cancer 3Mb panel (1000x)","PM00364.2.1_cfDNA",0.487305485322896,0.495244853228963,0.0439688159194089,0.0435642470601507,437.443985849057,439.592985804605
"Prostate cancer 3Mb panel (1000x)","PM00459.2.1_cfDNA",0.483567397260274,0.494769808219178,0.0643929790304969,0.0649584391726844,470.196535244922,471.82911849711
"Prostate cancer 3Mb panel (1000x)","PM00779.2.1_cfDNA",0.469647749510763,0.50839530332681,0.150372915814961,0.149750400944706,323.416953316953,323.760209163347
"Breast cancer WES (96-500x)","PMB2_11_GDNA_S2",0.482563600782779,0.494187866927593,0.0816178910542118,0.0849269649258483,67.1233676021117,67.0409710272985
"Breast cancer WES (96-500x)","PMB2_15_GDNA_S3",0.477397260273973,0.494187866927593,0.0793431950368633,0.0821915655429767,74.0536912751678,73.890615632926
"Breast cancer WES (96-500x)","PMB2_9_GDNA_S1",0.465772994129159,0.490313111545988,0.0800364043993453,0.0827542062012396,68.2010539308773,67.8428953910882
"Breast cancer WES (96-500x)","PMB2_10_GDNA_S1",0.47861724853229,0.487729941291585,0.0804649859599189,0.0829285528641804,77.9133548658896,77.6188971177886
"Breast cancer WES (96-500x)","PMB2_18_GDNA_S2",0.46706457925636,0.477397260273973,0.0822361049042815,0.0852985878774452,75.627453736238,75.3652852175547
"Breast cancer WES (96-500x)","PMB2_26_GDNA_S3",0.478688845401174,0.492896281800391,0.0785055239150256,0.0812196260640358,82.6242271582322,82.3748790935471
"Breast cancer WES (96-500x)","PMB2_30_GDNA_S1",0.458023483365949,0.496771037181996,0.0887890942296156,0.095454596570721,68.0976319281413,68.066789876277
"Breast cancer WES (96-500x)","PMB2_40_GDNA_S2",0.460606653620352,0.489021526418787,0.0912351927015322,0.0974994661668436,59.2698617416426,59.2895445134576
"Breast cancer WES (96-500x)","PMB2_44_GDNA_S3",0.474814090019569,0.479980430528376,0.091569578852182,0.0986053675652179,61.0152002955613,61.0151282729437
"Breast cancer WES (96-500x)","PMB2_12_GDNA_S2",0.487729941291585,0.495479452054794,0.0810062959594334,0.0844436331260871,73.713777325877,73.6098715034559
"Breast cancer WES (96-500x)","PMB2_14_GDNA_S3",0.481272015655577,0.498062622309198,0.075389526409005,0.0774125564982065,90.9957100925717,90.7493305496301
"Breast cancer WES (96-500x)","PMB2_2_GDNA_S1",0.477397260273973,0.487729941291585,0.0718888912979386,0.0742693580222584,98.1839513839602,98.1024577367412
"Breast cancer WES (96-500x)","PMB2_36_GDNA_S4",0.486438356164384,0.49160469667319,0.0783942719016461,0.0794898182693907,71.646531924667,71.288084673692
"Breast cancer WES (96-500x)","PMB2_26_2_CFDNA_S5",0.483094800391389,0.492896281800391,0.0612528583461344,0.0639509725273591,381.7169244564,379.551895306859
"Breast cancer WES (96-500x)","PMB2_26_3_CFDNA_S6",0.479980430528376,0.490313111545988,0.0546665946391257,0.0571138743864663,330.946617172655,329.520833333333
"Breast cancer WES (96-500x)","PMB2_26_CFDNA_S4",0.482563600782779,0.492896281800391,0.0688788768439571,0.0707017802738836,240.202805938596,238.622967479675
