"assembly"	"sample"	"design"	"method"	"Median quality"	"Average quality"
"hg38"	"HG00096"	"1kGP WGS
long-read"	"cramino_qual"	15	14.2285714285714
"hg38"	"HG00098"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0306748466258
"hg38"	"HG00099"	"1kGP WGS
long-read"	"cramino_qual"	14	13.4643584521385
"hg38"	"HG00100"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8364008179959
"hg38"	"HG00101"	"1kGP WGS
long-read"	"cramino_qual"	15	14.0204498977505
"hg38"	"HG00103"	"1kGP WGS
long-read"	"cramino_qual"	15	14.0981595092025
"hg38"	"HG00106"	"1kGP WGS
long-read"	"cramino_qual"	15	14.3865030674847
"hg38"	"HG00107"	"1kGP WGS
long-read"	"cramino_qual"	16	14.669387755102
"hg38"	"HG00111"	"1kGP WGS
long-read"	"cramino_qual"	15	14.7469135802469
"hg38"	"HG00114"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2154471544715
"hg38"	"HG00117"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1551020408163
"hg38"	"HG00120"	"1kGP WGS
long-read"	"cramino_qual"	16	15.405737704918
"hg38"	"HG00123"	"1kGP WGS
long-read"	"cramino_qual"	12	12.234693877551
"hg38"	"HG00124"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2274590163934
"hg38"	"HG00125"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2012320328542
"hg38"	"HG00128"	"1kGP WGS
long-read"	"cramino_qual"	14	13.6577868852459
"hg38"	"HG00129"	"1kGP WGS
long-read"	"cramino_qual"	16	15.4458077709611
"hg38"	"HG00130"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0347648261759
"hg38"	"HG00131"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0286298568507
"hg38"	"HG00133"	"1kGP WGS
long-read"	"cramino_qual"	15	14.8367346938776
"hg38"	"HG00137"	"1kGP WGS
long-read"	"cramino_qual"	15	14.8196721311475
"hg38"	"HG00139"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0266940451745
"hg38"	"HG00141"	"1kGP WGS
long-read"	"cramino_qual"	16	15.3285714285714
"hg38"	"HG00146"	"1kGP WGS
long-read"	"cramino_qual"	15	14.7720739219713
"hg38"	"HG00148"	"1kGP WGS
long-read"	"cramino_qual"	14	13.6188524590164
"hg38"	"HG00149"	"1kGP WGS
long-read"	"cramino_qual"	14	13.8036809815951
"hg38"	"HG00152"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2540983606557
"hg38"	"HG00157"	"1kGP WGS
long-read"	"cramino_qual"	16	14.7433808553971
"hg38"	"HG00158"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8957055214724
"hg38"	"HG00159"	"1kGP WGS
long-read"	"cramino_qual"	13	12.8963414634146
"hg38"	"HG00171"	"1kGP WGS
long-read"	"cramino_qual"	15	14.6406570841889
"hg38"	"HG00173"	"1kGP WGS
long-read"	"cramino_qual"	16	15.3305954825462
"hg38"	"HG00188"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2918367346939
"hg38"	"HG00190"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1
"hg38"	"HG00235"	"1kGP WGS
long-read"	"cramino_qual"	15	14.465306122449
"hg38"	"HG00242"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9016393442623
"hg38"	"HG00243"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0367346938776
"hg38"	"HG00247"	"1kGP WGS
long-read"	"cramino_qual"	15	14.6850715746421
"hg38"	"HG00252"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0265848670757
"hg38"	"HG00254"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1311475409836
"hg38"	"HG00255"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1145194274029
"hg38"	"HG00258"	"1kGP WGS
long-read"	"cramino_qual"	16	15.5020491803279
"hg38"	"HG00261"	"1kGP WGS
long-read"	"cramino_qual"	16	15.641393442623
"hg38"	"HG00268"	"1kGP WGS
long-read"	"cramino_qual"	15	14.7321063394683
"hg38"	"HG00269"	"1kGP WGS
long-read"	"cramino_qual"	17	15.7189409368635
"hg38"	"HG00271"	"1kGP WGS
long-read"	"cramino_qual"	16	15.5594262295082
"hg38"	"HG00273"	"1kGP WGS
long-read"	"cramino_qual"	17	15.7709611451943
"hg38"	"HG00274"	"1kGP WGS
long-read"	"cramino_qual"	17	15.9115226337449
"hg38"	"HG00278"	"1kGP WGS
long-read"	"cramino_qual"	15	14.6666666666667
"hg38"	"HG00282"	"1kGP WGS
long-read"	"cramino_qual"	15	14.6270491803279
"hg38"	"HG00284"	"1kGP WGS
long-read"	"cramino_qual"	15	14.3122448979592
"hg38"	"HG00311"	"1kGP WGS
long-read"	"cramino_qual"	15	14.3285714285714
"hg38"	"HG00312"	"1kGP WGS
long-read"	"cramino_qual"	14	13.2142857142857
"hg38"	"HG00313"	"1kGP WGS
long-read"	"cramino_qual"	15	14.3319672131148
"hg38"	"HG00315"	"1kGP WGS
long-read"	"cramino_qual"	15	14.2836734693878
"hg38"	"HG00321"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5378323108384
"hg38"	"HG00323"	"1kGP WGS
long-read"	"cramino_qual"	16	15.4244897959184
"hg38"	"HG00324"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9142857142857
"hg38"	"HG00325"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0860655737705
"hg38"	"HG00334"	"1kGP WGS
long-read"	"cramino_qual"	15	14.6204081632653
"hg38"	"HG00335"	"1kGP WGS
long-read"	"cramino_qual"	15	14.1565040650407
"hg38"	"HG00336"	"1kGP WGS
long-read"	"cramino_qual"	13	12.9613034623218
"hg38"	"HG00338"	"1kGP WGS
long-read"	"cramino_qual"	14	13.7648261758691
"hg38"	"HG00342"	"1kGP WGS
long-read"	"cramino_qual"	16	15.3934426229508
"hg38"	"HG00346"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5591836734694
"hg38"	"HG00349"	"1kGP WGS
long-read"	"cramino_qual"	15	14.6659836065574
"hg38"	"HG00357"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2040816326531
"hg38"	"HG00360"	"1kGP WGS
long-read"	"cramino_qual"	16	15.40081799591
"hg38"	"HG00361"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9652351738241
"hg38"	"HG00365"	"1kGP WGS
long-read"	"cramino_qual"	16	15.6905737704918
"hg38"	"HG00367"	"1kGP WGS
long-read"	"cramino_qual"	15	14.2576687116564
"hg38"	"HG00368"	"1kGP WGS
long-read"	"cramino_qual"	13	12.9836400817996
"hg38"	"HG00377"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8302658486708
"hg38"	"HG00378"	"1kGP WGS
long-read"	"cramino_qual"	14	13.3975409836066
"hg38"	"HG00381"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8591836734694
"hg38"	"HG00404"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2862985685072
"hg38"	"HG00407"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8737270875764
"hg38"	"HG00409"	"1kGP WGS
long-read"	"cramino_qual"	15	14.0450819672131
"hg38"	"HG00418"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0142857142857
"hg38"	"HG00419"	"1kGP WGS
long-read"	"cramino_qual"	15	14.3775510204082
"hg38"	"HG00420"	"1kGP WGS
long-read"	"cramino_qual"	13	12.9734693877551
"hg38"	"HG00427"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1551020408163
"hg38"	"HG00436"	"1kGP WGS
long-read"	"cramino_qual"	14	13.3265306122449
