"assembly"	"sample"	"design"	"raw total sequences"	"filtered sequences"	"sequences"	"is sorted"	"1st fragments"	"last fragments"	"reads mapped"	"reads mapped and paired"	"reads unmapped"	"reads properly paired"	"reads paired"	"reads duplicated"	"reads MQ0"	"reads QC failed"	"non-primary alignments"	"supplementary alignments"	"total length"	"total first fragment length"	"total last fragment length"	"bases mapped"	"bases mapped (cigar)"	"bases trimmed"	"bases duplicated"	"mismatches"	"error rate"	"average length"	"average first fragment length"	"average last fragment length"	"maximum length"	"maximum first fragment length"	"maximum last fragment length"	"average quality"	"insert size average"	"insert size standard deviation"	"inward oriented pairs"	"outward oriented pairs"	"pairs with other orientation"	"pairs on different chromosomes"	"percentage of properly paired reads (%)"
"hg38"	"HG00096"	"1kGP WGS
long-read"	10112630	0	10112630	1	10112630	0	9544364	0	568267	0	0	0	38822	0	3019774	1250402	78824430000	78824430000	0	76378660000	75143110000	0	0	6583797000	0.08761678	7795	7795	0	735637	735637	0	255	0	0	0	0	0	0	0
"hg38"	"HG00098"	"1kGP WGS
long-read"	3474750	0	3474750	1	3474750	0	3277448	0	197302	0	0	0	10321	0	988902	343489	37548080000	37548080000	0	36455660000	35819760000	0	0	2487294000	0.06943914	10806	10806	0	786235	786235	0	255	0	0	0	0	0	0	0
"hg38"	"HG00099"	"1kGP WGS
long-read"	3446049	0	3446049	1	3446049	0	3233673	0	212376	0	0	0	7470	0	933514	375214	54068290000	54068290000	0	51978440000	50879840000	0	0	4669347000	0.09177205	15690	15690	0	395118	395118	0	255	0	0	0	0	0	0	0
"hg38"	"HG00100"	"1kGP WGS
long-read"	3100910	0	3100910	1	3100910	0	2921385	0	179525	0	0	0	6277	0	886701	574172	48088350000	48088350000	0	47090060000	46561580000	0	0	3271993000	0.07027238	15508	15508	0	900854	900854	0	255	0	0	0	0	0	0	0
"hg38"	"HG00101"	"1kGP WGS
long-read"	2738838	0	2738838	1	2738838	0	2566861	0	171977	0	0	0	7252	0	894864	617686	40254670000	40254670000	0	39133020000	38467940000	0	0	3209438000	0.08343148	14698	14698	0	537681	537681	0	255	0	0	0	0	0	0	0
"hg38"	"HG00103"	"1kGP WGS
long-read"	2120255	0	2120255	1	2120255	0	1986455	0	133800	0	0	0	5558	0	714834	500143	34750720000	34750720000	0	33764630000	33195850000	0	0	2818631000	0.08490913	16390	16390	0	1392349	1392349	0	255	0	0	0	0	0	0	0
"hg38"	"HG00106"	"1kGP WGS
long-read"	1900682	0	1900682	1	1900682	0	1786418	0	114264	0	0	0	3052	0	534375	262122	39707780000	39707780000	0	38720280000	38123730000	0	0	2828841000	0.07420158	20891	20891	0	1157296	1157296	0	255	0	0	0	0	0	0	0
"hg38"	"HG00107"	"1kGP WGS
long-read"	1984880	0	1984880	1	1984880	0	1860621	0	124259	0	0	0	4148	0	599686	342612	39657850000	39657850000	0	38690040000	38151570000	0	0	2692347000	0.07056975	19980	19980	0	800305	800305	0	255	0	0	0	0	0	0	0
"hg38"	"HG00111"	"1kGP WGS
long-read"	6454232	0	6454232	1	6454232	0	6158207	0	296025	0	0	0	18453	0	1926833	1222967	79196090000	79196090000	0	76989300000	75758480000	0	0	5538591000	0.07310853	12270	12270	0	1138085	1138085	0	255	0	0	0	0	0	0	0
"hg38"	"HG00114"	"1kGP WGS
long-read"	2949129	0	2949129	1	2949129	0	2812236	0	136893	0	0	0	5386	0	907466	497772	63274590000	63274590000	0	61949670000	60941540000	0	0	4094440000	0.06718636	21455	21455	0	729061	729061	0	255	0	0	0	0	0	0	0
"hg38"	"HG00117"	"1kGP WGS
long-read"	3199814	0	3199814	1	3199814	0	3037415	0	162399	0	0	0	6609	0	1016968	521042	66898680000	66898680000	0	65390320000	64375080000	0	0	4293757000	0.06669906	20907	20907	0	967208	967208	0	255	0	0	0	0	0	0	0
