ID	nc	gene	tot	support_cov	support_VAF	perc_cov	perc_VAF	cv
10	Allele swapping	HFE	6	0	5	0	0.833333333333333	Conflicting interpretations
100090	Allele swapping	DPYD	12	4	8	0.333333333333333	0.666666666666667	Benign
100091	[1, 5] mismatches	DPYD	6	4	4	0.666666666666667	0.666666666666667	Benign
100124	[1, 5] mismatches	UMPS	4	0	4	0	1	Benign
100126	[1, 5] mismatches	UMPS	5	3	5	0.6	1	Benign
100128	Allele swapping	UMPS	7	0	5	0	0.714285714285714	Benign
1001715	Indels	LDB3	8	1	6	0.125	0.75	Uncertain significance
1001777	Indels	ATM	9	5	4	0.555555555555556	0.444444444444444	Uncertain significance
100326	[1, 5] mismatches	VWF	4	3	4	0.75	1	Likely pathogenic
1003269	Indels	MET	9	0	8	0	0.888888888888889	Uncertain significance
100328	[1, 5] mismatches	VWF	4	4	0	1	0	Other
100329	[1, 5] mismatches	VWF	4	4	0	1	0	Pathogenic
100330	[1, 5] mismatches	VWF	6	6	0	1	0	Pathogenic
100331	[1, 5] mismatches	VWF	6	6	0	1	0	Likely pathogenic
100342	[1, 5] mismatches	VWF	4	4	1	1	0.25	Other
100343	[1, 5] mismatches	VWF	4	4	1	1	0.25	Other
100367	[1, 5] mismatches	VWF	4	3	1	0.75	0.25	Other
100369	[1, 5] mismatches	VWF	4	3	0	0.75	0	Pathogenic
10038	Indels	HPRT1	5	4	0	0.8	0	Pathogenic
100380	[1, 5] mismatches	VWF	4	4	1	1	0.25	Other
100382	[1, 5] mismatches	VWF	4	4	0	1	0	Pathogenic
1004031	Indels	DHFR	7	6	6	0.857142857142857	0.857142857142857	Uncertain significance
100607	Indels	CACNA2D4	6	4	2	0.666666666666667	0.333333333333333	Benign
1006153	Indels	SETD2	4	3	1	0.75	0.25	Uncertain significance
1006975	[1, 5] mismatches	KCNE1	4	4	0	1	0	Uncertain significance
1007160	[1, 5] mismatches	AGRN	4	1	3	0.25	0.75	Uncertain significance
100746	Allele swapping	ITGB2	9	0	8	0	0.888888888888889	Benign
100765	[1, 5] mismatches	ITGB2	10	0	7	0	0.7	Benign
1009189	[1, 5] mismatches	SDHA	5	5	1	1	0.2	Uncertain significance
1009704	[1, 5] mismatches	NLRP12	4	4	0	1	0	Uncertain significance
1012845	[1, 5] mismatches	SORD	4	0	3	0	0.75	Other
1013558	[1, 5] mismatches	FMN2	10	7	3	0.7	0.3	Other
1016335	Indels	PRKCD	4	4	0	1	0	Uncertain significance
1016546	[1, 5] mismatches	BRIP1	4	3	0	0.75	0	Uncertain significance
1017823	[1, 5] mismatches	BRCA2	7	5	1	0.714285714285714	0.142857142857143	Uncertain significance
1018118	[1, 5] mismatches	MSTO1	4	3	0	0.75	0	Uncertain significance
1019406	[1, 5] mismatches	BRCA2	4	4	1	1	0.25	Uncertain significance
1019499	Indels	BRCA1	7	6	2	0.857142857142857	0.285714285714286	Uncertain significance
1020304	Indels	ADGRV1	7	1	4	0.142857142857143	0.571428571428571	Uncertain significance
1021324	Indels	AGRN	7	1	4	0.142857142857143	0.571428571428571	Uncertain significance
1022477	Other	RB1	4	3	0	0.75	0	Uncertain significance
1024295	Indels	CACNA2D4	6	4	1	0.666666666666667	0.166666666666667	Uncertain significance
1024988	[1, 5] mismatches	COL6A2	4	4	0	1	0	Uncertain significance
1025587	Indels	ATM	4	1	3	0.25	0.75	Uncertain significance
1025856	[1, 5] mismatches	AR	9	0	5	0	0.555555555555556	Uncertain significance
1026035	Indels	RB1	4	4	0	1	0	Uncertain significance
1026076	Indels	MSH2	7	0	6	0	0.857142857142857	Uncertain significance
1026177	Indels	RB1	5	3	3	0.6	0.6	Uncertain significance
1030764	[1, 5] mismatches	KIF1A	4	0	3	0	0.75	Uncertain significance
1030888	[1, 5] mismatches	CHRNA4	4	0	4	0	1	Uncertain significance
1033247	[1, 5] mismatches	TMEM231	6	5	0	0.833333333333333	0	Uncertain significance
1033308	[1, 5] mismatches	AEBP1	5	0	4	0	0.8	Uncertain significance
1033517	> 5 mismatches | Indels	FMN2	4	4	0	1	0	Uncertain significance
1033924	[1, 5] mismatches	MUC5B	8	8	0	1	0	Uncertain significance
1033925	[1, 5] mismatches	MUC5B	7	6	5	0.857142857142857	0.714285714285714	Uncertain significance
1034921	[1, 5] mismatches	FANCA	5	0	4	0	0.8	Uncertain significance
1035564	[1, 5] mismatches	PEX6	11	10	10	0.909090909090909	0.909090909090909	Uncertain significance
1035592	[1, 5] mismatches	PNPLA6	5	0	4	0	0.8	Uncertain significance
1036648	Indels	ATM	4	0	3	0	0.75	Uncertain significance
1037410	[1, 5] mismatches	MLH1	4	0	3	0	0.75	Uncertain significance
1039690	[1, 5] mismatches	ATM	7	5	0	0.714285714285714	0	Uncertain significance
1040153	[1, 5] mismatches	INPP5E	4	3	1	0.75	0.25	Uncertain significance
1041250	[1, 5] mismatches	APC	5	2	4	0.4	0.8	Uncertain significance
1043417	[1, 5] mismatches	PMS2	4	4	0	1	0	Uncertain significance
1043464	Other	TP53	4	1	3	0.25	0.75	Uncertain significance
1048853	Indels	BRCA1	5	4	1	0.8	0.2	Pathogenic
1048915	[1, 5] mismatches	PKD1	4	4	0	1	0	Other
1049455	[1, 5] mismatches	DPP6	8	6	6	0.75	0.75	Uncertain significance
1049520	[1, 5] mismatches	FCGR2B	4	0	4	0	1	Uncertain significance
1049887	Indels	NDUFA10	4	0	4	0	1	Uncertain significance
1050063	Indels	ATXN3	9	8	3	0.888888888888889	0.333333333333333	Uncertain significance
1050360	[1, 5] mismatches	BRCA2	4	3	0	0.75	0	Other
1050552	Indels	MSH2	4	1	4	0.25	1	Uncertain significance
1050708	[1, 5] mismatches	PMS2	5	3	2	0.6	0.4	Uncertain significance
1050775	Other	MUC5B	6	0	5	0	0.833333333333333	Uncertain significance
1051724	Indels	UNC93B1	6	6	2	1	0.333333333333333	Uncertain significance
1051738	Indels	ATM	4	0	4	0	1	Uncertain significance
1055237	[1, 5] mismatches	PRIMA1	7	7	0	1	0	Uncertain significance
1056623	[1, 5] mismatches	AGRN	4	3	0	0.75	0	Uncertain significance
1056934	Indels	SPG7	5	0	4	0	0.8	Uncertain significance
1057121	[1, 5] mismatches	CSF2RA	9	1	8	0.111111111111111	0.888888888888889	Uncertain significance
1058118	Indels	ATM	4	1	3	0.25	0.75	Uncertain significance
10588	Allele swapping	F9	8	0	5	0	0.625	Benign
1059306	[1, 5] mismatches	TUBGCP6	5	4	0	0.8	0	Uncertain significance
1060518	Indels	MSH2	6	1	5	0.166666666666667	0.833333333333333	Uncertain significance
1061226	[1, 5] mismatches	PMS2	4	3	1	0.75	0.25	Uncertain significance
1063272	[1, 5] mismatches	BRCA1	5	3	0	0.6	0	Uncertain significance
1063864	[1, 5] mismatches	BRCA2	7	5	1	0.714285714285714	0.142857142857143	Uncertain significance
1067373	Other	TP53	7	7	1	1	0.142857142857143	Likely pathogenic
1067947	[1, 5] mismatches	BRIP1	4	3	0	0.75	0	Likely pathogenic
1068697	Indels	ATM	9	5	4	0.555555555555556	0.444444444444444	Pathogenic
1069135	Indels	MSH2	5	0	4	0	0.8	Pathogenic
1069431	Indels	HPS3	4	3	0	0.75	0	Pathogenic
1069507	Indels	RB1	10	4	6	0.4	0.6	Pathogenic
1069746	[1, 5] mismatches	GRHPR	13	7	1	0.538461538461538	0.0769230769230769	Pathogenic
1072141	Other	TP53	4	1	3	0.25	0.75	Pathogenic
1072881	[1, 5] mismatches	BRCA1	6	4	1	0.666666666666667	0.166666666666667	Pathogenic
1074790	[1, 5] mismatches	BRCA2	7	4	3	0.571428571428571	0.428571428571429	Pathogenic
1075116	Other	TP53	4	3	4	0.75	1	Pathogenic
1075976	[1, 5] mismatches	MSH2	6	2	4	0.333333333333333	0.666666666666667	Pathogenic
