"ID","nc","Hugo_Symbol","MSK-IMPACT 50k 2026","TCGA GDC 2025"
"43590","[1, 5] mismatches","TP53",1.096,0.131
"127819","[1, 5] mismatches","TP53",0.803,0.094
"13900","[1, 5] mismatches","NRAS",0.782,0.037
"43589","[1, 5] mismatches","TP53",0.716,0.094
"194585","[1, 5] mismatches","APC",0.581,0.131
"73058","[1, 5] mismatches","NRAS",0.581,0.056
"376004","[1, 5] mismatches","SF3B1",0.326,0.056
"376344","[1, 5] mismatches","ERBB2",0.259,0.028
"13272","[1, 5] mismatches","FGFR2",0.224,NA
"375874","[1, 5] mismatches","NRAS",0.218,0.009
"141762","[1, 5] mismatches","TP53",0.21,0.037
"216077","[1, 5] mismatches","TP53",0.208,0.047
"182928","[1, 5] mismatches","TP53",0.195,NA
"376625","[1, 5] mismatches","TP53",0.179,NA
"824","[1, 5] mismatches","APC",0.17,0.028
"481003","[1, 5] mismatches","TP53",0.164,0.009
"808","[1, 5] mismatches","APC",0.158,0.037
"376615","[1, 5] mismatches","TP53",0.147,0.019
"376559","[1, 5] mismatches","TP53",0.143,NA
"233650","[1, 5] mismatches","TP53",0.141,0.009
"140801","[1, 5] mismatches","TP53",0.137,0.037
"807","[1, 5] mismatches","APC",0.135,0.019
"182965","[1, 5] mismatches","TP53",0.133,0.028
"406597","[1, 5] mismatches","TP53",0.127,0.009
"977783","[1, 5] mismatches","TP53",0.125,0.019
"376500","[1, 5] mismatches","POLE",0.122,0.028
"376681","[1, 5] mismatches","TP53",0.122,0.028
"630765","[1, 5] mismatches","TP53",0.114,NA
"135359","[1, 5] mismatches","TP53",0.106,0.019
"376348","[1, 5] mismatches","FOXL2",0.104,NA
"634773","[1, 5] mismatches","TP53",0.104,NA
"458541","[1, 5] mismatches","TP53",0.1,0.009
"376624","[1, 5] mismatches","TP53",0.091,0.066
"566924","[1, 5] mismatches","TP53",0.089,NA
"12511","[1, 5] mismatches","TGFBR2",0.087,0.009
"12602","> 5 mismatches | Indels","HRAS",0.085,0.009
"376650","[1, 5] mismatches","TP53",0.083,0.009
"451799","[1, 5] mismatches","TP53",0.083,0.028
"233627","[1, 5] mismatches","TP53",0.079,NA
"634704","[1, 5] mismatches","TP53",0.077,0.019
"186236","[1, 5] mismatches","TP53",0.075,0.009
"376435","[1, 5] mismatches","H3F3A",0.075,NA
"634707","[1, 5] mismatches","TP53",0.075,0.009
"376542","[1, 5] mismatches","SOS1",0.073,NA
"420659","> 5 mismatches | Indels","TP53",0.073,NA
"634688","[1, 5] mismatches","TP53",0.073,0.019
"13543","> 5 mismatches | Indels","PDGFRA",0.071,NA
"35554","> 5 mismatches | Indels","HRAS",0.071,0.028
"184863","[1, 5] mismatches","TP53",0.066,NA
"216078","[1, 5] mismatches","TP53",0.066,NA
"376660","[1, 5] mismatches","TP53",0.064,0.019
"1000203","[1, 5] mismatches","EGFR",0.062,NA
"12612","> 5 mismatches | Indels","HRAS",0.062,0.028
"1329425","[1, 5] mismatches","TP53",0.062,0.019
"376670","[1, 5] mismatches","TP53",0.062,NA
"142657","[1, 5] mismatches","TP53",0.058,NA
"864351","[1, 5] mismatches","RNF43",0.058,NA
