#hg38.knownGene.name	hg38.knownGene.chrom	hg38.knownGene.strand	hg38.knownGene.txStart	hg38.knownGene.txEnd	hg38.knownGene.cdsStart	hg38.knownGene.cdsEnd	hg38.knownGene.exonCount	hg38.knownGene.exonStarts	hg38.knownGene.exonEnds	hg38.knownGene.proteinID	hg38.kgXref.geneSymbol
ENST00000343537.12	chr1	-	223779892	223845947	223780852	223845680	18	223779892,223784114,223789007,223792388,223793302,223795814,223798214,223799898,223800699,223802115,223802730,223803270,223804173,223806845,223810430,223814239,223821219,223845653,	223780894,223784314,223789174,223792522,223793440,223796590,223798677,223800047,223800810,223802344,223802895,223803452,223804348,223806947,223810513,223814353,223821367,223845947,	Q13625	TP53BP2
ENST00000391878.6	chr1	-	223779898	223845930	223780852	223806932	19	223779898,223784114,223789007,223792388,223793302,223795814,223798214,223799898,223800699,223802115,223802730,223803270,223804173,223806845,223810430,223814239,223818205,223821219,223845653,	223780894,223784314,223789174,223792522,223793440,223796590,223798677,223800047,223800810,223802344,223802895,223803452,223804348,223806947,223810513,223814353,223818337,223821367,223845930,	Q13625	TP53BP2
ENST00000483398.5	chr1	-	223780644	223800726	223796572	223800726	8	223780644,223784114,223789007,223792388,223793302,223795814,223799898,223800699,	223780894,223784314,223789174,223792522,223793440,223796590,223800047,223800726,	H0Y847	TP53BP2
ENST00000498843.5	chr1	-	223780788	223802736	223780788	223780788	11	223780788,223784114,223789007,223792388,223793302,223795814,223798214,223799898,223800699,223802115,223802428,	223780894,223784314,223789174,223792522,223793440,223796590,223798677,223800047,223800810,223802344,223802736,		TP53BP2
ENST00000494100.1	chr1	-	223795837	223814328	223795837	223814328	5	223795837,223804207,223806845,223810430,223814239,	223796123,223804348,223806947,223810513,223814328,	H7C5L8	TP53BP2
ENST00000489310.1	chr1	-	223799916	223802731	223799916	223799916	4	223799916,223800699,223802115,223802669,	223800047,223800810,223802344,223802731,		TP53BP2
ENST00000490896.1	chr1	-	223800775	223802657	223800775	223800775	2	223800775,223802115,	223800810,223802657,		TP53BP2
ENST00000481128.1	chr1	-	223801938	223803330	223801938	223801938	3	223801938,223802730,223803270,	223802344,223802895,223803330,		TP53BP2
ENST00000464172.1	chr1	-	223802300	223803223	223802300	223802300	2	223802300,223802730,	223802344,223803223,		TP53BP2
ENST00000496282.5	chr1	-	223804234	223821136	223804234	223804234	5	223804234,223806845,223810430,223814239,223821068,	223804348,223806947,223810513,223814353,223821136,		TP53BP2
ENST00000473135.5	chr1	-	223806910	223826069	223806910	223806910	5	223806910,223810430,223814239,223821219,223825884,	223806947,223810513,223814353,223821367,223826069,		TP53BP2
ENST00000465119.1	chr1	-	223810463	223845954	223810463	223810463	3	223810463,223814239,223845653,	223810513,223814353,223845954,		TP53BP2
ENST00000472180.1	chr1	-	223814175	223845794	223814175	223814175	3	223814175,223821219,223845653,	223814353,223821367,223845794,		TP53BP2
ENST00000238721.9	chr2	-	24077432	24084834	24077578	24084326	5	24077432,24079443,24080818,24082884,24084188,	24077761,24079640,24081031,24083152,24084834,	Q53FA7	TP53I3
ENST00000335934.8	chr2	-	24077432	24085215	24077578	24084326	6	24077432,24079443,24080818,24082884,24084188,24084730,	24077761,24079640,24081031,24083152,24084331,24085215,	Q53FA7	TP53I3
